Authors,Title,Booktitle,Bookaddress,Year,Volume,Issue,Pages,Chapters,Cited by,Editors,Journals,Publisher,Conference name,Conference date,Conference location,ISBN,Document Type
"Saleh A., Marhuenda E., Fabre C., Hassani Z., Weille J., Boukhaddaoui H., Guelfi S., Maldonado I.L., Hugnot J.-P., Duffau H., Bauchet L., Cornu D., Bakalara N.",A novel 3D nanofibre scaffold conserves the plasticity of glioblastoma stem cell invasion by regulating galectin-3 and integrin-β1 expression,,,2019,9,1,,,10,,Scientific Reports,Nature Publishing Group,,,,,Article
"García-Marín R., Cabal V.N., Fernández-Cedrón Bermejo C., Riobello C., Suárez-Fernández L., Codina-Martínez H., Navarro-García A., Lorenzo-Guerra S.L., García-Martínez J., Vivanco B., López F., Llorente J.L., Hermsen M.A.",A Novel External Auditory Canal Squamous Cell Carcinoma Cell Line Sensitive to CDK4/6 Inhibition,,,2022,,,,,0,,Otolaryngology - Head and Neck Surgery (United States),SAGE Publications Inc.,,,,,Article
"Katzengold R., Orlov A., Gefen A.",A novel system for dynamic stretching of cell cultures reveals the mechanobiology for delivering better negative pressure wound therapy,,,2021,20,1,193-204,,3,,Biomechanics and Modeling in Mechanobiology,Springer Science and Business Media Deutschland GmbH,,,,,Article
"Surendran V., Rutledge D., Colmon R., Chandrasekaran A.",A novel tumor-immune microenvironment (TIME)-on-Chip mimics three dimensional neutrophil-tumor dynamics and neutrophil extracellular traps (NETs)-mediated collective tumor invasion,,,2021,13,3,,,12,,Biofabrication,IOP Publishing Ltd,,,,,Article
"Dondi C., Bertin B., da Ponte J.-P., Wojtowicz I., Jagla K., Junion G.",A polarized nucleus-cytoskeleton-ECM connection in migrating cardioblasts controls heart tube formation in Drosophila,,,2021,148,15,,,0,,Development (Cambridge),Company of Biologists Ltd,,,,,Article
"Liu Q., Muralidharan A., Saateh A., Ding Z., ten Dijke P., Boukany P.E.",A Programmable Multifunctional 3D Cancer Cell Invasion Micro Platform,,,2022,,,,,0,,Small,John Wiley and Sons Inc,,,,,Article
"Van Liedekerke P., Neitsch J., Johann T., Warmt E., Gonzàlez-Valverde I., Hoehme S., Grosser S., Kaes J., Drasdo D.",A quantitative high-resolution computational mechanics cell model for growing and regenerating tissues,,,2020,19,1,189-220,,11,,Biomechanics and Modeling in Mechanobiology,Springer,,,,,Article
"Atif H., Hicks S.D.",A review of microrna biomarkers in traumatic brain injury,,,2019,13,1,,,50,,Journal of Experimental Neuroscience,SAGE Publications Ltd,,,,,Article
"Merchant B., Edelstein-Keshet L., Feng J. J.",A Rho-GTPase based model explains spontaneous collective migration of neural crest cell clusters,,,2018,444,1,S262-S273,,15,,Developmental Biology,Elsevier Inc.,,,,,Article
"Lu Y., Wong P.K.",A single molecule barcode nanobiosensor for dynamic multigene analysis in live cells during tissue morphogenesis and wound healing,,,2019,,,338-339,,0,,"23rd International Conference on Miniaturized Systems for Chemistry and Life Sciences, MicroTAS 2019",Chemical and Biological Microsystems Society,23rd International Conference on Miniaturized Systems for Chemistry and Life Sciences,27-Oct-19,"Basel, Switzerland",9781733419000,Conference Paper
"Parreira M.T., Lavrenyuk K., Sanches J.M., Dahl K.N.",A single stiffened nucleus alters cell dynamics and coherence in a monolayer,,,2021,78,6,277-283,,0,,Cytoskeleton,John Wiley and Sons Inc,,,,,Article
"Agliari E., Sáez P.J., Barra A., Piel M., Vargas P., Castellana M.",A statistical inference approach to reconstruct intercellular interactions in cell migration experiments,,,2020,6,11,,,4,,Science Advances,American Association for the Advancement of Science,,,,,Article
"Balcioglu H.E., Balasubramaniam L., Stirbat T.V., Doss B.L., Fardin M.-A., Mège R.-M., Ladoux B.",A subtle relationship between substrate stiffness and collective migration of cell clusters,,,2020,16,7,1825-1839,,6,,Soft Matter,Royal Society of Chemistry,,,,,Article
"Liu J., Shang J., Chen Y., Tian Y., Yang Q., Chen M., Xiong B., Zhang X.-B.",A surface-engineered NIR light-responsive actuator for controllable modulation of collective cell migration,,,2019,7,36,5528-5534,,3,,Journal of Materials Chemistry B,Royal Society of Chemistry,,,,,Article
"Matsia S., Tsave O., Hatzidimitriou A., Gabriel C., Bertmer M., Salifoglou A.",A Systematic Synthetic Study of the Aqueous Chemistry of Binary Boron–Hydroxycarboxylic Acid Systems: Boron Structural Speciation Correlation to the Biotoxicity Profile,,,2018,2018,11,1284-1301,,0,,European Journal of Inorganic Chemistry,Wiley-VCH Verlag,,,,,Article
Concha M.L.,A tale of turns and cycles guiding to neural crest migration-an interview with roberto mayor,,,2021,65,44595,123-129,,0,,International Journal of Developmental Biology,UPV/EHU Press,,,,,Article
"Carvalho J., Lopes V., Travasso R.","A three dimensional computer model of urothelium and bladder cancer initiation, progress and collective invasion",,,2021,26,1,,,0,,Informatics in Medicine Unlocked,Elsevier Ltd,,,,,Article
"Lee G.-H., Chang C.-L., Chiu W.-T., Hsiao T.-H., Chen P.-Y., Wang K.-C., Kuo C.-H., Chen B.-H., Shi G.-Y., Wu H.-L., Fu T.-F.",A thrombomodulin-like gene is crucial to the collective migration of epibolic blastomeres during germ layer formation and organogenesis in zebrafish,,,2019,26,1,,,1,,Journal of Biomedical Science,BioMed Central Ltd.,,,,,Article
"Moreira S., Espina J.A., Saraiva J.E., Barriga E.H.",A Toolbox to Study Tissue Mechanics In Vivo and Ex Vivo,Cell Polarity Signaling,New York,2022,2438,1,495-515,,0,"Chang C., Wang J.",Methods in Molecular Biology,Humana Press Inc.,,,,9781071620342;9781071620342,Book Chapter
"Borau C., del Amo C., Asín J., Movilla N., Cóndor M., García-Aznar J. M.",A workbench for biomedical applications based on image analysis,,,2018,27,1,544-547,,0,,Lecture Notes in Computational Vision and Biomechanics,Springer Netherlands,,,,,Article
"Kojima M., Sugimoto K., Kobayashi M., Ichikawa-Tomikawa N., Kashiwagi K., Watanabe T., Soeda S., Fujimori K., Chiba H.",Aberrant claudin-6–adhesion signaling promotes endometrial cancer progression via estrogen receptor α,,,2021,19,7,1208-1220,,5,,Molecular Cancer Research,American Association for Cancer Research Inc.,,,,,Article
"Wang X., Chen S., Nan H., Liu R., Ding Y., Song K., Shuai J., Fan Q., Zheng Y., Ye F., Jiao Y., Liu L.",Abnormal Aggregation of Invasive Cancer Cells Induced by Collective Polarization and ECM-Mediated Mechanical Coupling in Coculture Systems,,,2021,2021,1,,,0,,Research,American Association for the Advancement of Science,,,,,Article
"Nan H., Zheng Y., Lin Y.H., Chen S., Eddy C.Z., Tian J., Xu W., Sun B., Jiao Y.",Absorbing-active transition in a multi-cellular system regulated by a dynamic force network,,,2019,15,35,6938-6945,,9,,Soft Matter,Royal Society of Chemistry,,,,,Article
"Kobb A.B., Rothenberg K.E., Fernandez-Gonzalez R.",Actin and myosin dynamics are independent during Drosophila embryonic wound repair,,,2019,30,23,2901-2912,,1,,Molecular Biology of the Cell,American Society for Cell Biology,,,,,Article
"Schaks M., Giannone G., Rottner K.",Actin dynamics in cell migration,,,2019,63,5,483-495,,63,,Essays in Biochemistry,Portland Press Ltd,,,,,Article
"Wei Q., Shi X., Zhao T., Cai P., Chen T., Zhang Y., Huang C., Yang J., Chen X., Zhang S.",Actin-ring segment switching drives nonadhesive gap closure,,,2020,117,52,33263-33271,,1,,Proceedings of the National Academy of Sciences of the United States of America,National Academy of Sciences,,,,,Article
"Fang C., Yao J., Zhang Y., Lin Y.",Active chemo-mechanical feedbacks dictate the collective migration of cells on patterned surfaces,,,2022,121,7,1266-1275,,2,,Biophysical Journal,Biophysical Society,,,,,Article
"Hirata E., Ichikawa T., Horike S.-I., Kiyokawa E.",Active K-RAS induces the coherent rotation of epithelial cells: A model for collective cell invasion in vitro,,,2018,109,12,4045-4055,,6,,Cancer Science,Blackwell Publishing Ltd,,,,,Article
"Yu S.-M., Li B., Amblard F., Granick S., Cho Y.-K.",Adaptive architecture and mechanoresponse of epithelial cells on a torus,,,2021,265,1,,,1,,Biomaterials,Elsevier Ltd,,,,,Article
"Ozawa M., Hiver S., Yamamoto T., Shibata T., Upadhyayula S., Mimori-Kiyosue Y., Takeichi M.",Adherens junction regulates cryptic lamellipodia formation for epithelial cell migration,,,2020,219,10,,,15,,The Journal of cell biology,NLM (Medline),,,,,Article
"Rashid S., Long Z., Singh S., Kohram M., Vashistha H., Navlakha S., Salman H., Oltvai Z.N., Bar-Joseph Z.",Adjustment in tumbling rates improves bacterial chemotaxis on obstacle-laden terrains,,,2019,116,24,11770-11775,,5,,Proceedings of the National Academy of Sciences of the United States of America,National Academy of Sciences,,,,,Article
"Parhizkar M., Di Marzo Serugendo G.",Agent-based models for first- and second-order emergent collective behaviours of social amoeba Dictyostelium discoideum aggregation and migration phases,,,2018,23,4,498-507,,6,,Artificial Life and Robotics,Springer Tokyo,,,,,Article
"Bagger S.O., Hopkinson B.M., Pandey D.P., Bak M., Brydholm A.V., Villadsen R., Helin K., Rønnov-Jessen L., Petersen O.W., Kim J.",Aggressiveness of non-EMT breast cancer cells relies on FBXO11 activity,,,2018,17,1,,,10,,Molecular Cancer,BioMed Central Ltd.,,,,,Article
"Chakraborty S., Sampath D., Yu Lin M.O., Bilton M., Huang C.-K., Nai M.H., Njah K., Goy P.-A., Wang C.-C., Guccione E., Lim C.-T., Hong W.",Agrin-Matrix Metalloproteinase-12 axis confers a mechanically competent microenvironment in skin wound healing,,,2021,12,1,,,1,,Nature Communications,Nature Research,,,,,Article
"Felton J.M., Bouffi C., Schwartz J.T., Schollaert K.L., Malik A., Vallabh S., Wronowski B., Magier A.Z., Merlin L., Barski A., Weirauch M.T., Fulkerson P.C., Rothenberg M.E.",Aiolos regulates eosinophil migration into tissues,,,2021,14,6,1271-1281,,3,,Mucosal Immunology,Springer Nature,,,,,Article
"Kim J.-G., Kim H.-H., Bae S.-J.",Akap12beta supports asymmetric heart development via modulating the Kupffer's vesicle formation in zebrafish,,,2019,52,8,526-531,,0,,BMB Reports,The Biochemical Society of the Republic of Korea,,,,,Article
"Kräter M., Sapudom J., Bilz N. C., Pompe T., Guck J., Claus C.",Alterations in cell mechanics by actin cytoskeletal changes correlate with strain-specific rubella virus phenotypes for cell migration and induction of apoptosis,,,2018,7,9,,,14,,Cells,MDPI,,,,,Article
"Guisoni N., Mazzitello K.I., Diambra L.",Alternating regimes of motion in a model with cell-cell interactions,,,2020,101,6,,,2,,Physical Review E,American Physical Society,,,,,Article
"Nakanishi J., Sugiyama K., Matsuo H., Takahashi Y., Mura S.O., Nakashima T.",An application of photoactivatable substrate for the evaluation of epithelial-mesenchymal transition inhibitors,,,2019,35,1,65-69,,6,,Analytical Sciences,Japan Society for Analytical Chemistry,,,,,Article
"Yong X., Huang C.-K., Lim C.T.","An integrated platform to facilitate the calculation, validation and visualization of optical flow velocities in biological images",,,2021,18,179,,,0,,Journal of the Royal Society Interface,Royal Society Publishing,,,,,Article
"Cuenca M.B., Canedo L., Perez-Castro C., Grecco H.E.",An Integrative and Modular Framework to Recapitulate Emergent Behavior in Cell Migration,,,2020,8,1,,,1,,Frontiers in Cell and Developmental Biology,Frontiers Media S.A.,,,,,Article
"Giniūnaitė R., McLennan R., McKinney M.C., Baker R.E., Kulesa P.M., Maini P.K.",An interdisciplinary approach to investigate collective cell migration in neural crest,,,2020,249,3,270-280,,4,,Developmental Dynamics,John Wiley and Sons Inc.,,,,,Article
"Tripathi S., Jolly M. K., Woodward W. A., Levine H., Deem M. W.",Analysis of hierarchical organization in gene expression networks reveals underlying principles of collective tumor cell dissemination and metastatic aggressiveness of inflammatory breast cancer,,,2018,8,JUL,,,11,,Frontiers in Oncology,Frontiers Media S.A.,,,,,Article
"Shaker M.R., Lee J.-H., Park S.-H., Kim J.Y., Son G.H., Son J.W., Park B.H., Rhyu I.J., Kim H., Sun W.",Anteroposterior Wnt-RA Gradient Defines Adhesion and Migration Properties of Neural Progenitors in Developing Spinal Cord,,,2020,15,4,898-911,,9,,Stem Cell Reports,Cell Press,,,,,Article
"Khinsar K.H., Abdul S., Hussain A., Ud Din R., Lei L., Cao J., Abbasi M., Ur Rehman A., Farooqui N., Yi X., Min H., Wang L., Mintao Z.",Anti-tumor effect of polysaccharide from Pleurotus ostreatus on H22 mouse Hepatoma ascites in-vivo and hepatocellular carcinoma in-vitro model,,,2021,11,1,,,0,,AMB Express,Springer Science and Business Media Deutschland GmbH,,,,,Article
"Hook K.A., Wilke L.M., Fisher H.S.",Apical sperm hook morphology is linked to sperm swimming performance and sperm aggregation in peromyscus mice,,,2021,10,9,,,2,,Cells,MDPI,,,,,Article
"Wang H., Qiu Z., Xu Z., Chen S. J., Luo J., Wang X., Chen J.",aPKC is a key polarity determinant in coordinating the function of three distinct cell polarities during collective migration,,,2018,145,9,,,15,,Development (Cambridge),Company of Biologists Ltd,,,,,Article
"Min S., Choe C., Roh S.",Aqp3 increases intercellular cohesion in nsclc a549 cell spheroids through exploratory cell protrusions,,,2021,22,8,,,1,,International Journal of Molecular Sciences,MDPI,,,,,Article
"Login F.H., Jensen H.H., Pedersen G.A., Koffman J.S., Kwon T.-H., Parsons M., Nejsum L.N.",Aquaporins differentially regulate cell-cell adhesion in MDCK cells,,,2019,33,6,6980-6994,,11,,FASEB Journal,John Wiley and Sons Inc.,,,,,Article
"Wilson M.R., Reske J.J., Holladay J., Wilber G.E., Rhodes M., Koeman J., Adams M., Johnson B., Su R.-W., Joshi N.R., Patterson A.L., Shen H., Leach R.E., Teixeira J.M., Fazleabas A.T., Chandler R.L.",ARID1A and PI3-kinase pathway mutations in the endometrium drive epithelial transdifferentiation and collective invasion,,,2019,10,1,,,55,,Nature Communications,Nature Publishing Group,,,,,Article
"Modol L., Bollmann Y., Tressard T., Baude A., Che A., Duan Z.R.S., Babij R., De Marco García N.V., Cossart R.",Assemblies of Perisomatic GABAergic Neurons in the Developing Barrel Cortex,,,2020,105,1,93-105,,25,,Neuron,Cell Press,,,,,Article
"Jiang K., Pichol-Thievend C., Neufeld Z., Francois M.",Assessment of heterogeneity in collective endothelial cell behavior with multicolor clonal cell tracking to predict arteriovenous remodeling,,,2021,36,3,,,0,,Cell Reports,Elsevier B.V.,,,,,Article
"Lu Y., Deng R., You H., Xu Y., Antos C., Sun J., Klein O.D., Lu P.",Asymmetric Stratification-Induced Polarity Loss and Coordinated Individual Cell Movements Drive Directional Migration of Vertebrate Epithelium,,,2020,33,2,,,3,,Cell Reports,Elsevier B.V.,,,,,Article
"Miron A., Spinozzi D., Bruinsma M., Lie J. T., Birbal R. S., Baydoun L., Oellerich S., Melles G. R. J.",Asymmetrical endothelial cell migration from in vitro Quarter-Descemet membrane endothelial keratoplasty grafts,,,2018,96,8,828-833,,7,,Acta Ophthalmologica,Blackwell Publishing Ltd,,,,,Article
"Rens E.G., Zeegers M.T., Rabbers I., Szabó A., Merks R.M.H.",Autocrine inhibition of cell motility can drive epithelial branching morphogenesis in the absence of growth: Epithelial branching morphogenesis,,,2020,375,1807,,,1,,Philosophical Transactions of the Royal Society B: Biological Sciences,Royal Society Publishing,,,,,Article
"Fedele C., Mäntylä E., Belardi B., Hamkins-Indik T., Cavalli S., Netti P.A., Fletcher D.A., Nymark S., Priimagi A., Ihalainen T.O.",Azobenzene-based sinusoidal surface topography drives focal adhesion confinement and guides collective migration of epithelial cells,,,2020,10,1,,,13,,Scientific Reports,Nature Research,,,,,Article
"Meacock O.J., Doostmohammadi A., Foster K.R., Yeomans J.M., Durham W.M.",Bacteria solve the problem of crowding by moving slowly,,,2021,17,2,205-210,,21,,Nature Physics,Nature Research,,,,,Article
"Rhodeland B., Hoeger K., Ursell T.",Bacterial surface motility is modulated by colony-scale flow and granular jamming,,,2020,17,167,,,1,,Journal of the Royal Society Interface,Royal Society Publishing,,,,,Article
"Zhang X., Ruan Q., Zhai Y., Lu D., Li C., Fu Y., Zheng Z., Song Y., Guo J.",Baicalein inhibits non-small-cell lung cancer invasion and metastasis by reducing ezrin tension in inflammation microenvironment,,,2020,111,10,3802-3812,,16,,Cancer Science,Blackwell Publishing Ltd,,,,,Article
"Braunstein J.A., Robbins A.E., Stewart S., Stankunas K.",Basal epidermis collective migration and local Sonic hedgehog signaling promote skeletal branching morphogenesis in zebrafish fins,,,2021,477,1,177-190,,0,,Developmental Biology,Elsevier Inc.,,,,,Article
"Moskopp M.L., Deussen A., Dieterich P.",Bayesian inference for the automated adjustment of an image segmentation pipeline — A modular approach applied to wound healing assays,,,2019,173,1,52-61,,4,,Knowledge-Based Systems,Elsevier B.V.,,,,,Article
"Turnham D.J., Yang W.W., Davies J., Varnava A., Ridley A.J., Conlan R.S., Clarkson R.W.E.",Bcl-3 promotes multi-modal tumour cell migration via NF-κB1 mediated regulation of Cdc42,,,2020,41,10,1432-1443,,6,,Carcinogenesis,Oxford University Press,,,,,Article
"Tang F., Li J., Xie W., Mo Y., Ouyang L., Zhao F., Fu X., Chen X.",Bioactive glass promotes the barrier functional behaviors of keratinocytes and improves the Re-epithelialization in wound healing in diabetic rats,,,2021,6,10,3496-3506,,5,,Bioactive Materials,KeAi Communications Co.,,,,,Article
"Haykin V., Oscar A., Dimitrova V., Petkova I., Zdravkov Y., Kostova S., Veleva N., Mitev V., Isaeva A.",Bioimage analysis of cell physiology of primary lens epithelial cells from diabetic and non-diabetic cataract patients,,,2021,35,1,170-178,,1,,Biotechnology and Biotechnological Equipment,Taylor and Francis Ltd.,,,,,Article
"Deutsch A., Nava-Sedeño J.M., Syga S., Hatzikirou H.",BIO-LGCA: A cellular automaton modelling class for analysing collective cell migration,,,2021,17,6,,,1,,PLoS Computational Biology,Public Library of Science,,,,,Article
"Saw T. B., Xi W., Ladoux B., Lim C. T.",Biological Tissues as Active Nematic Liquid Crystals,,,2018,30,47,,,32,,Advanced Materials,Wiley-VCH Verlag,,,,,Article
"Bratsun D.A., Krasnyakov I.V., Pismen L.M.",Biomechanical modeling of invasive breast carcinoma under a dynamic change in cell phenotype: collective migration of large groups of cells,,,2020,19,2,723-743,,3,,Biomechanics and Modeling in Mechanobiology,Springer,,,,,Article
"Spatarelu C.-P., Zhang H., Nguyen D.T., Han X., Liu R., Guo Q., Notbohm J., Fan J., Liu L., Chen Z.",Biomechanics of Collective Cell Migration in Cancer Progression: Experimental and Computational Methods,,,2019,5,8,3766-3787,,21,,ACS Biomaterials Science and Engineering,American Chemical Society,,,,,Article
"Tsave O., Salifoglou A.","Biomimetic activity of soluble, well-defined, aqueous Ti(IV)-citrate species toward adipogenesis. An in vitro study",,,2021,214,1,,,4,,Journal of Inorganic Biochemistry,Elsevier Inc.,,,,,Article
"Subbalakshmi A.R., Ashraf B., Jolly M.K.",Biophysical and biochemical attributes of hybrid epithelial/mesenchymal phenotypes,,,2022,19,2,,,0,,Physical Biology,IOP Publishing Ltd,,,,,Article
Clark A.G.,Biophysical origins of viscoelasticity during collective cell migration,Viscoelasticity and Collective Cell Migration: An Interdisciplinary Perspective Across Levels of Organization,,2021,,,47-77,3,0,"Pajic-Lijakovic I., Barriga E. H.",Viscoelasticity and Collective Cell Migration: An Interdisciplinary Perspective Across Levels of Organization,Elsevier,,,,9780128203101,Book Chapter
"Hussain A., Alajmi M.F., Khan M.A., Pervez S.A., Ahmed F., Amir S., Husain F.M., Khan M.S., Shaik G.M., Hassan I., Khan R.A., Rehman M.T.",Biosynthesized silver nanoparticle (AgNP) from pandanus odorifer leaf extract exhibits anti-metastasis and anti-biofilm potentials,,,2019,10,FEB,,,36,,Frontiers in Microbiology,Frontiers Media S.A.,,,,,Article
"Sáenz-De-santa-maría I., Celada L., Martínez A.S.J., Cubiella T., Chiara M.-D.",Blockage of squamous cancer cell collective invasion by FAK inhibition is released by CAFs and MMP-2,,,2020,12,12,,,1,,Cancers,MDPI AG,,,,,Article
"Noh J., Yu J., Kim W., Park A., Park K.-S.",Bone marrow-derived mesenchymal stem cells migrate toward hormone-insensitive prostate tumor cells expressing TGF-β via N-cadherin,,,2021,9,11,,,0,,Biomedicines,MDPI,,,,,Article
"Huo J., Sun S., Geng Z., Sheng W., Chen R., Ma K., Sun X., Fu X.",Bone Marrow-Derived Mesenchymal Stem Cells Promoted Cutaneous Wound Healing by Regulating Keratinocyte Migration via β 2 -Adrenergic Receptor Signaling,,,2018,15,7,2513-2527,,14,,Molecular Pharmaceutics,American Chemical Society,,,,,Article
"Guberman E., Sherief H., Regan E.R.",Boolean model of anchorage dependence and contact inhibition points to coordinated inhibition but semi-independent induction of proliferation and migration,,,2020,18,1,2145-2165,,2,,Computational and Structural Biotechnology Journal,Elsevier B.V.,,,,,Article
"Miao G., Guo L., Montell D.J.",Border cell polarity and collective migration require the spliceosome component Cactin,,,2022,221,7,,,0,,The Journal of cell biology,NLM (Medline),,,,,Article
"Goodwin K., Nelson C.M.",Branching morphogenesis,,,2020,147,10,,,17,,Development (Cambridge),Company of Biologists Ltd,,,,,Article
"Thüroff F., Goychuk A., Reiter M., Frey E.",Bridging the gap between single-cell migration and collective dynamics,,,2019,8,1,,,18,,eLife,eLife Sciences Publications Ltd,,,,,Article
"Diaz Simões J.R., Grebenkov D., Bourgine P., Peyriéras N.",Brownian-like deviation of neighboring cells in the early embryogenesis of the zebrafish,,,2019,16,2,,,0,,Physical Biology,Institute of Physics Publishing,,,,,Article
"Colak-Champollion T., Lan L., Jadhav A.R., Yamaguchi N., Venkiteswaran G., Patel H., Cammer M., Meier-Schellersheim M., Knaut H.",Cadherin-Mediated Cell Coupling Coordinates Chemokine Sensing across Collectively Migrating Cells,,,2019,29,15,2570-2579,,18,,Current Biology,Cell Press,,,,,Article
"Crawford M., Dagnino L.",Cadherins as Central Modulators of Wound Repair,"Wound Healing: Stem Cells Repair and Restorations, Basic and Clinical Aspects",,2018,,,15-30,2,1,Turksen K.,"Wound Healing: Stem Cells Repair and Restorations, Basic and Clinical Aspects",Wiley Blackwell,,,,9781119282518; 9781119282488,Book Chapter
